Gen	t_n6	t_n7	t_n8	t_n9	mu	sigma2	r_n1	r_n2	r_n3	r_n4	r_n5	r_n7	r_n8	r_n9	lnL
1	12.0488204	9.5792419	2.9273177	1.8340898	0.0151942	0.2069020	0.0091279	0.0199753	0.0280808	0.0189412	0.0155259	0.0174277	0.0488866	0.0435229	-5.707
10	11.3749748	9.6055252	1.7285846	0.8684003	0.0089566	0.2019056	0.0018951	0.0439879	0.0371364	0.0543863	0.0447386	0.0159374	0.0608614	0.0477592	-1.216
20	11.7661616	9.7147572	1.2659436	2.4146899	0.0203223	0.1147291	0.0044806	0.0466572	0.0492733	0.0318408	0.0131557	0.0165486	0.0495914	0.0487153	-1.772
30	11.8463651	11.1100188	2.0995720	4.1306938	0.0095509	0.1957556	0.0071154	0.0261592	0.0328115	0.0174905	0.0094656	0.0095710	0.0388036	0.0450867	-2.505
40	10.9766352	8.8034303	2.3405444	1.9128393	0.0210938	0.1700977	0.0043876	0.0106247	0.0207953	0.0289178	0.0427818	0.0366882	0.0448130	0.0561293	-7.112
50	11.2907074	11.0053023	3.1891893	1.7389299	0.0267367	0.3165275	0.0024285	0.0159578	0.0133604	0.0252570	0.0338922	0.0326473	0.0553277	0.0389261	-1.934
60	8.9184297	8.4974421	1.5717219	0.9091609	0.0298820	0.1070733	0.0145536	0.0619711	0.0660092	0.0795335	0.0968663	0.0294712	0.0539650	0.0562914	-5.277
70	9.3131875	6.7671152	1.1085561	1.0210544	0.0308112	0.0736348	0.0225535	0.0618495	0.0807941	0.0590506	0.0670802	0.0286824	0.0751129	0.0650922	-5.971
80	8.4537684	7.9459638	1.2558339	0.8270731	0.0329249	0.1479338	0.0159663	0.0525753	0.0414569	0.0645695	0.0543176	0.0442246	0.0526505	0.0652111	-3.171
90	9.0833058	8.8880865	1.5283491	1.5420246	0.0295178	0.1690826	0.0105901	0.0389985	0.0508317	0.0428273	0.0360275	0.0343337	0.0541799	0.0484696	-1.762
100	10.8412248	10.4248533	1.5373632	1.5424356	0.0292948	0.0524721	0.0070194	0.0372299	0.0427450	0.0363216	0.0386723	0.0282499	0.0430972	0.0409274	-1.447
110	9.9987859	9.6849480	1.5738703	1.6214177	0.0154880	0.0843441	0.0068247	0.0301214	0.0274758	0.0380051	0.0375993	0.0171537	0.0491495	0.0494284	-1.968
120	10.6831458	10.5321726	1.1182070	1.9621045	0.0213272	0.0943160	0.0114345	0.0699519	0.0699350	0.0181192	0.0255653	0.0213847	0.0462756	0.0387686	-3.811
130	8.8360715	7.3757526	1.7643287	1.9265710	0.0119112	0.3418977	0.0087352	0.0570371	0.0537132	0.0429391	0.0195815	0.0111896	0.0976533	0.0766153	-4.675
140	10.3924004	9.4418069	2.0210354	2.6671404	0.0358566	0.1822604	0.0090548	0.0469506	0.0361711	0.0123085	0.0302254	0.0296708	0.0470526	0.0674331	-4.662
150	8.1606302	7.9292599	1.8910863	1.0504086	0.0297415	0.1871282	0.0094604	0.0313245	0.0217826	0.0426107	0.0216358	0.0266092	0.0661786	0.0522704	-3.333
160	8.7940838	8.0175006	1.0731486	1.4533438	0.0261963	0.0205399	0.0111998	0.0458709	0.0470188	0.0490754	0.0534638	0.0305063	0.0434054	0.0503860	-5.106
170	11.5540390	11.0924074	2.5228465	1.5539107	0.0206206	0.0602717	0.0102592	0.0324896	0.0230603	0.0359452	0.0399039	0.0207772	0.0644346	0.0403575	-3.824
180	8.8912555	8.6912733	2.3558519	1.0939894	0.0249845	0.1752536	0.0098757	0.0368167	0.0327374	0.0435522	0.0270193	0.0279099	0.0531182	0.0525517	-3.981
190	9.1088260	7.7952624	1.2975005	1.7486814	0.0283547	0.0790942	0.0141156	0.0478773	0.0580158	0.0478673	0.0334273	0.0247617	0.0576205	0.0764614	-3.126
200	11.5803875	8.3766201	1.9732808	1.3631536	0.0270137	0.0416748	0.0103934	0.0352523	0.0427174	0.0352449	0.0497268	0.0261859	0.0368066	0.0525444	-8.214
210	10.5454514	7.7809533	0.8135431	1.1150202	0.0150803	0.0839427	0.0052809	0.0447324	0.0484996	0.0221870	0.0242876	0.0183545	0.0419941	0.0510137	-7.360
220	11.1275139	10.0721900	1.2509295	2.6389060	0.0187685	0.1097967	0.0081385	0.0270846	0.0428928	0.0243105	0.0138924	0.0267091	0.0340441	0.0436105	-4.025
230	8.9588260	7.8444739	2.3538844	1.5439509	0.0437542	0.0640517	0.0362368	0.0264527	0.0385145	0.0433238	0.0397677	0.0492100	0.0653641	0.0583410	-7.930
240	11.2663244	10.9383753	1.4329941	1.0752824	0.0349520	0.1646340	0.0032867	0.0284787	0.0303230	0.0875459	0.0378473	0.0441819	0.0412823	0.0479101	-2.586
250	8.5963515	6.5165444	1.3488124	1.3193976	0.0430313	0.0189119	0.0351094	0.0341578	0.0398655	0.0486155	0.0409850	0.0393087	0.0508734	0.0578955	-9.428
260	11.7064691	10.8272006	2.3687413	0.9779734	0.0367487	0.0566098	0.0084087	0.0244153	0.0158481	0.0489061	0.0395912	0.0411532	0.0362179	0.0516533	-5.428
270	10.4582157	9.8186237	2.1517931	1.3453525	0.0419717	0.0849611	0.0200806	0.0307121	0.0186965	0.0624860	0.0316185	0.0427591	0.0427709	0.0371080	-5.525
280	9.0428320	8.5500260	2.0673323	0.7697759	0.0410688	0.0676035	0.0300858	0.0337058	0.0332643	0.0611418	0.0599363	0.0368674	0.0619214	0.0576039	-6.225
290	10.7000608	10.0784309	1.9077727	1.5294354	0.0311357	0.0705053	0.0120080	0.0320229	0.0442647	0.0372641	0.0575911	0.0351698	0.0408482	0.0344683	-5.588
300	9.4218164	8.6532829	2.7735776	2.4271584	0.0359635	0.1115603	0.0116384	0.0281542	0.0297430	0.0361172	0.0210808	0.0317176	0.0644996	0.0449065	-4.981
310	10.7324373	9.4401130	1.5531715	1.4666100	0.0149872	0.1350899	0.0039873	0.0525387	0.0291957	0.0389423	0.0395887	0.0216764	0.0620991	0.0612341	-1.424
320	11.2168333	10.2967413	4.4253964	4.7419270	0.0394546	0.1852132	0.0067568	0.0081262	0.0204431	0.0104921	0.0144008	0.0501939	0.0587814	0.0600365	-3.796
330	9.4622008	8.4213588	2.6404436	3.5905923	0.0439498	0.1387717	0.0101600	0.0112851	0.0305664	0.0151131	0.0274054	0.0310877	0.0773948	0.0914036	-5.060
340	11.9529213	11.8619127	5.7830496	1.6822459	0.0283344	0.1389622	0.0041401	0.0091972	0.0057635	0.0330402	0.0391263	0.0310877	0.0551077	0.0427262	-3.025
350	7.8963174	7.3603128	1.7696823	0.6321840	0.0337732	0.2332923	0.0147873	0.0293396	0.0629220	0.0772746	0.0630560	0.0339665	0.0839574	0.0765819	-4.483
360	10.0684362	8.2454350	1.7760778	1.0161547	0.0243763	0.1638944	0.0061493	0.0209664	0.0508374	0.0283134	0.0324273	0.0224107	0.0506367	0.0501088	-5.249
370	7.5071516	7.0365799	1.7098793	3.5681023	0.0784459	0.1806066	0.0142334	0.0391476	0.0576696	0.0256143	0.0132539	0.0657260	0.0508168	0.0991456	-5.380
380	11.6588460	10.3654819	4.1133584	3.1972278	0.0373979	0.3616290	0.0135958	0.0250474	0.0194595	0.0218496	0.0096868	0.0309530	0.0687069	0.0588041	-5.259
390	8.1663571	7.1517204	2.2855342	1.3307435	0.0371055	0.0767547	0.0129986	0.0370891	0.0294243	0.0780554	0.0651609	0.0554977	0.0630066	0.0487867	-8.452
400	10.7145670	10.2274306	1.7624438	1.7786653	0.0282808	0.0347953	0.0099072	0.0314172	0.0359516	0.0254962	0.0157866	0.0285312	0.0388047	0.0318378	-5.322
410	9.4483467	9.2908585	1.8846616	2.0028792	0.0400102	0.2952552	0.0040054	0.0200952	0.0302838	0.0155770	0.0353468	0.0360597	0.0728690	0.0608591	-2.627
420	9.8615294	9.6101332	1.8478692	1.2171802	0.0213355	0.0689522	0.0067127	0.0297498	0.0250367	0.0356506	0.0338759	0.0227853	0.0598030	0.0553598	-1.716
430	11.3725334	11.2269229	1.8105107	2.2078196	0.0182630	0.4200105	0.0041021	0.0293376	0.0343660	0.0152053	0.0257307	0.0195039	0.0302625	0.0362562	-4.821
440	9.3394201	7.2756977	0.7953323	1.8179498	0.0268169	0.1675976	0.0062242	0.0929078	0.0691045	0.0267869	0.0259334	0.0261308	0.0686155	0.0580759	-3.069
450	9.7274705	6.0864631	1.3888971	1.2723742	0.0135495	0.0838466	0.0061223	0.0486093	0.0417407	0.0686344	0.0509285	0.0312640	0.0796403	0.0695261	-4.211
460	10.8794437	6.2601658	1.3224127	0.7935243	0.0101238	0.1647563	0.0017890	0.0288833	0.0406288	0.0435381	0.0428805	0.0295717	0.0661002	0.0510529	-6.096
